Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG,home_Gls,home_Sh,away_Gls,away_Sh
Eintracht Frankfurt,Bayern Munich,1,6,0,4,0.9,4.0,48,402,93,633
Augsburg,Freiburg,0,4,0,2,0.7,1.2,49,429,43,392
Wolfsburg,Werder Bremen,2,2,1,2,1.0,0.8,41,411,45,407
Union Berlin,Hertha BSC,3,1,3,1,1.0,0.3,33,403,37,368
Bochum,Mainz 05,1,2,1,2,0.9,1.4,41,524,38,476
Mönchengladbach,Hoffenheim,3,1,3,1,2.0,0.1,55,451,65,457
Dortmund,Bayer Leverkusen,1,0,0,0,1.8,1.3,68,506,87,611
Stuttgart,RB Leipzig,1,1,1,1,0.8,1.7,78,529,74,528
Köln,Schalke 04,3,1,2,1,4.4,0.2,28,441,35,412
Freiburg,Dortmund,1,3,1,2,1.0,1.1,43,392,68,506
RB Leipzig,Köln,2,2,2,1,1.0,1.5,74,528,28,441
Bayer Leverkusen,Augsburg,1,2,0,1,2.6,0.4,87,611,49,429
Hertha BSC,Eintracht Frankfurt,1,1,1,1,1.7,1.6,37,368,48,402
Hoffenheim,Bochum,3,2,2,2,2.7,1.5,65,457,41,524
Schalke 04,Mönchengladbach,2,2,1,1,1.4,1.3,35,412,55,451
Werder Bremen,Stuttgart,2,2,2,2,0.5,1.4,45,407,78,529
Mainz 05,Union Berlin,0,0,0,0,0.7,0.4,38,476,33,403
Bayern Munich,Wolfsburg,2,0,1,0,2.2,0.5,93,633,41,411
Mönchengladbach,Hertha BSC,1,0,0,0,2.7,1.0,55,451,37,368
Wolfsburg,Schalke 04,0,0,0,0,1.3,1.1,41,411,35,412
Dortmund,Werder Bremen,2,3,2,2,0.5,1.3,68,506,45,407
Bayer Leverkusen,Hoffenheim,0,3,0,2,1.2,1.5,87,611,65,457
Union Berlin,RB Leipzig,2,1,2,1,0.7,0.9,33,403,74,528
Stuttgart,Freiburg,0,1,0,1,0.9,0.6,78,529,43,392
Augsburg,Mainz 05,1,2,1,2,0.5,2.2,49,429,38,476
Bochum,Bayern Munich,0,7,0,4,0.7,3.2,41,524,93,633
Eintracht Frankfurt,Köln,1,1,0,0,0.9,0.3,48,402,28,441
Freiburg,Bochum,1,0,0,0,4.2,1.3,43,392,41,524
Hoffenheim,Augsburg,1,0,1,0,1.9,0.6,65,457,49,429
Schalke 04,Union Berlin,1,6,0,4,1.9,1.1,35,412,33,403
Bayern Munich,Mönchengladbach,1,1,1,0,2.8,0.5,93,633,55,451
Mainz 05,Bayer Leverkusen,0,3,0,1,1.4,1.9,38,476,87,611
Hertha BSC,Dortmund,0,1,0,1,0.5,2.7,37,368,68,506
RB Leipzig,Wolfsburg,2,0,0,0,3.5,0.5,74,528,41,411
Werder Bremen,Eintracht Frankfurt,3,4,1,3,1.8,1.8,45,407,48,402
Köln,Stuttgart,0,0,0,0,0.6,2.2,28,441,78,529
Dortmund,Hoffenheim,1,0,1,0,2.0,0.5,68,506,65,457
Eintracht Frankfurt,RB Leipzig,4,0,2,0,3.1,0.2,48,402,74,528
Bayer Leverkusen,Freiburg,2,3,1,3,1.8,1.9,87,611,43,392
Stuttgart,Schalke 04,1,1,1,1,0.6,2.3,78,529,35,412
Bochum,Werder Bremen,0,2,0,1,0.8,2.0,41,524,45,407
Wolfsburg,Köln,2,4,2,2,1.0,2.7,41,411,28,441
Union Berlin,Bayern Munich,1,1,1,0,0.3,1.5,33,403,93,633
Augsburg,Hertha BSC,0,2,0,2,0.4,2.1,49,429,37,368
Mönchengladbach,Mainz 05,0,1,0,0,1.2,0.6,55,451,38,476
Werder Bremen,Augsburg,0,1,0,1,1.5,1.0,45,407,49,429
Hoffenheim,Mainz 05,4,1,4,0,4.3,0.7,65,457,38,476
RB Leipzig,Dortmund,3,0,3,0,2.0,0.6,74,528,68,506
Schalke 04,Bochum,3,1,1,1,1.5,1.1,35,412,41,524
Eintracht Frankfurt,Wolfsburg,0,1,0,1,0.7,1.0,48,402,41,411
Bayern Munich,Stuttgart,2,2,2,1,2.2,1.2,93,633,78,529
Hertha BSC,Bayer Leverkusen,2,2,1,1,1.9,1.3,37,368,87,611
Köln,Union Berlin,0,1,0,0,0.6,1.5,28,441,33,403
Freiburg,Mönchengladbach,0,0,0,0,1.1,1.2,43,392,55,451
Mainz 05,Hertha BSC,1,1,0,1,0.7,0.4,38,476,37,368
Bayer Leverkusen,Werder Bremen,1,1,1,0,1.9,2.2,87,611,45,407
Augsburg,Bayern Munich,1,0,1,0,1.8,1.6,49,429,93,633
Mönchengladbach,RB Leipzig,3,0,2,0,2.8,0.9,55,451,74,528
Dortmund,Schalke 04,1,0,1,0,1.8,0.1,68,506,35,412
Stuttgart,Eintracht Frankfurt,1,3,1,1,1.1,1.0,78,529,48,402
Union Berlin,Wolfsburg,2,0,2,0,1.4,0.3,33,403,41,411
Bochum,Köln,1,1,0,0,0.2,2.1,41,524,28,441
Hoffenheim,Freiburg,0,0,0,0,0.7,1.0,65,457,43,392
Bayern Munich,Bayer Leverkusen,4,0,3,0,1.9,0.8,93,633,87,611
RB Leipzig,Bochum,4,0,1,0,4.1,0.1,74,528,41,524
Wolfsburg,Stuttgart,3,2,3,2,2.1,1.5,41,411,78,529
Eintracht Frankfurt,Union Berlin,2,0,1,0,0.9,1.0,48,402,33,403
Werder Bremen,Mönchengladbach,5,1,3,1,1.9,2.3,45,407,55,451
Freiburg,Mainz 05,2,1,1,1,2.4,1.7,43,392,38,476
Köln,Dortmund,3,2,3,1,1.9,2.6,28,441,68,506
Hertha BSC,Hoffenheim,1,1,1,1,0.9,1.5,37,368,65,457
Schalke 04,Augsburg,2,3,2,2,1.9,1.4,35,412,49,429
Hoffenheim,Werder Bremen,1,2,1,1,1.8,1.4,65,457,45,407
Augsburg,Wolfsburg,1,1,0,1,2.0,1.8,49,429,41,411
Mainz 05,RB Leipzig,1,1,1,1,0.6,1.1,38,476,74,528
Dortmund,Bayern Munich,2,2,2,1,1.6,0.6,68,506,93,633
Bayer Leverkusen,Schalke 04,4,0,4,0,1.5,0.4,87,611,35,412
Bochum,Eintracht Frankfurt,3,0,2,0,0.6,0.9,41,524,48,402
Mönchengladbach,Köln,5,2,3,0,3.0,1.3,55,451,28,441
Hertha BSC,Freiburg,2,2,1,2,1.6,1.0,37,368,43,392
Stuttgart,Union Berlin,0,1,0,1,1.0,0.7,78,529,33,403
Schalke 04,Hoffenheim,0,3,0,1,0.7,3.3,35,412,65,457
Eintracht Frankfurt,Bayer Leverkusen,5,1,2,1,3.9,0.4,48,402,87,611
RB Leipzig,Hertha BSC,3,2,2,0,3.1,2.4,74,528,37,368
Stuttgart,Bochum,4,1,2,0,2.2,1.6,78,529,41,524
Wolfsburg,Mönchengladbach,2,2,2,1,1.8,0.8,41,411,55,451
Werder Bremen,Mainz 05,0,2,0,2,1.3,1.1,45,407,38,476
Union Berlin,Dortmund,2,0,1,0,1.9,0.8,33,403,68,506
Bayern Munich,Freiburg,5,0,3,0,2.1,0.3,93,633,43,392
Köln,Augsburg,3,2,1,2,1.5,0.4,28,441,49,429
Mainz 05,Köln,5,0,2,0,1.9,0.7,38,476,28,441
Augsburg,RB Leipzig,3,3,2,1,1.6,2.5,49,429,74,528
Freiburg,Werder Bremen,2,0,1,0,3.0,0.5,43,392,45,407
Dortmund,Stuttgart,5,0,5,0,2.6,1.0,68,506,78,529
Mönchengladbach,Eintracht Frankfurt,1,3,1,2,1.0,1.9,55,451,48,402
Hoffenheim,Bayern Munich,0,2,0,2,0.8,2.5,65,457,93,633
Bayer Leverkusen,Wolfsburg,2,2,2,0,2.3,1.2,87,611,41,411
Bochum,Union Berlin,2,1,2,0,1.1,1.0,41,524,33,403
Hertha BSC,Schalke 04,2,1,1,1,0.8,0.6,37,368,35,412
Werder Bremen,Hertha BSC,1,0,1,0,1.4,0.4,45,407,37,368
Wolfsburg,Bochum,4,0,4,0,2.0,0.5,41,411,41,524
Bayern Munich,Mainz 05,6,2,5,2,3.2,2.2,93,633,38,476
Eintracht Frankfurt,Dortmund,1,2,1,2,2.0,0.6,48,402,68,506
Stuttgart,Augsburg,2,1,2,1,2.7,1.0,78,529,49,429
RB Leipzig,Bayer Leverkusen,2,0,2,0,1.2,0.1,74,528,87,611
Schalke 04,Freiburg,0,2,0,1,0.6,2.3,35,412,43,392
Köln,Hoffenheim,1,1,1,1,1.2,0.9,28,441,65,457
Union Berlin,Mönchengladbach,2,1,2,1,0.9,1.0,33,403,55,451
Mönchengladbach,Stuttgart,3,1,3,1,0.9,1.2,55,451,78,529
Werder Bremen,Schalke 04,2,1,2,1,1.0,1.4,45,407,35,412
Dortmund,Bochum,3,0,0,0,1.5,0.6,68,506,41,524
Mainz 05,Wolfsburg,0,3,0,2,1.0,0.6,38,476,41,411
Hertha BSC,Bayern Munich,2,3,1,1,1.2,1.9,37,368,93,633
Augsburg,Eintracht Frankfurt,1,2,1,1,1.2,1.2,49,429,48,402
Hoffenheim,RB Leipzig,1,3,1,1,0.9,1.7,65,457,74,528
Bayer Leverkusen,Union Berlin,5,0,5,0,1.9,0.3,87,611,33,403
Freiburg,Köln,2,0,2,0,1.5,0.5,43,392,28,441
Stuttgart,Hertha BSC,2,1,2,1,2.0,0.7,78,529,37,368
Bayern Munich,Werder Bremen,6,1,4,1,4.4,1.3,93,633,45,407
Wolfsburg,Dortmund,2,0,1,0,2.5,1.6,41,411,68,506
Bochum,Mönchengladbach,2,1,1,1,2.0,0.8,41,524,55,451
Union Berlin,Augsburg,2,2,2,1,1.2,0.6,33,403,49,429
Eintracht Frankfurt,Hoffenheim,4,2,3,1,2.8,1.8,48,402,65,457
Köln,Bayer Leverkusen,1,2,1,1,1.5,1.4,28,441,87,611
Schalke 04,Mainz 05,1,0,0,0,1.5,0.8,35,412,38,476
RB Leipzig,Freiburg,3,1,1,0,3.0,0.2,74,528,43,392
Mönchengladbach,Dortmund,4,2,4,1,2.1,3.3,55,451,68,506
Bayer Leverkusen,Stuttgart,2,0,2,0,1.6,0.3,87,611,78,529
Werder Bremen,RB Leipzig,1,2,1,2,0.9,1.7,45,407,74,528
Schalke 04,Bayern Munich,0,2,0,2,0.8,1.9,35,412,93,633
Hoffenheim,Wolfsburg,1,2,1,1,1.4,0.7,65,457,41,411
Hertha BSC,Köln,2,0,1,0,1.8,1.8,37,368,28,441
Augsburg,Bochum,0,1,0,1,2.3,1.1,49,429,41,524
Freiburg,Union Berlin,4,1,2,0,2.3,1.7,43,392,33,403
Mainz 05,Eintracht Frankfurt,1,1,1,1,1.5,1.8,38,476,48,402
RB Leipzig,Bayern Munich,1,1,1,1,0.8,0.7,74,528,93,633
Stuttgart,Mainz 05,1,1,1,0,1.7,1.5,78,529,38,476
Union Berlin,Hoffenheim,3,1,3,1,2.9,1.0,33,403,65,457
Eintracht Frankfurt,Schalke 04,3,0,3,0,1.2,1.9,48,402,35,412
Bochum,Hertha BSC,3,1,3,0,1.6,1.0,41,524,37,368
Wolfsburg,Freiburg,6,0,5,0,2.7,0.7,41,411,43,392
Köln,Werder Bremen,7,1,5,1,3.2,0.3,28,441,45,407
Dortmund,Augsburg,4,3,4,1,2.9,1.8,68,506,49,429
Mönchengladbach,Bayer Leverkusen,2,3,2,2,1.0,2.1,55,451,87,611
Hoffenheim,Stuttgart,2,2,1,2,2.0,0.8,65,457,78,529
Schalke 04,RB Leipzig,1,6,1,3,0.7,2.8,35,412,74,528
Bayern Munich,Köln,1,1,1,1,1.4,0.8,93,633,28,441
Hertha BSC,Wolfsburg,0,5,0,4,0.4,3.3,37,368,41,411
Bayer Leverkusen,Bochum,2,0,1,0,1.7,0.7,87,611,41,524
Mainz 05,Dortmund,1,2,1,2,1.2,1.5,38,476,68,506
Augsburg,Mönchengladbach,1,0,1,0,0.9,0.3,49,429,55,451
Freiburg,Eintracht Frankfurt,1,1,1,0,1.9,0.2,43,392,48,402
Werder Bremen,Union Berlin,1,2,1,1,0.6,1.1,45,407,33,403
RB Leipzig,Stuttgart,2,1,1,0,1.0,1.7,74,528,78,529
Hertha BSC,Union Berlin,0,2,0,2,0.5,1.0,37,368,33,403
Hoffenheim,Mönchengladbach,1,4,1,3,1.8,1.7,65,457,55,451
Mainz 05,Bochum,5,2,3,1,2.1,1.5,38,476,41,524
Werder Bremen,Wolfsburg,2,1,1,0,2.3,0.7,45,407,41,411
Freiburg,Augsburg,3,1,3,0,1.8,1.7,43,392,49,429
Bayern Munich,Eintracht Frankfurt,1,1,1,1,1.7,0.6,93,633,48,402
Bayer Leverkusen,Dortmund,0,2,0,1,1.7,0.9,87,611,68,506
Schalke 04,Köln,0,0,0,0,1.2,0.3,35,412,28,441
Augsburg,Bayer Leverkusen,1,0,1,0,0.9,0.6,49,429,87,611
Mönchengladbach,Schalke 04,0,0,0,0,1.1,1.0,55,451,35,412
Dortmund,Freiburg,5,1,4,0,1.9,0.4,68,506,43,392
Eintracht Frankfurt,Hertha BSC,3,0,1,0,2.2,0.9,48,402,37,368
Köln,RB Leipzig,0,0,0,0,0.8,1.3,28,441,74,528
Union Berlin,Mainz 05,2,1,2,0,1.1,1.3,33,403,38,476
Bochum,Hoffenheim,5,2,5,2,2.7,0.9,41,524,65,457
Stuttgart,Werder Bremen,0,2,0,1,1.4,0.5,78,529,45,407
Wolfsburg,Bayern Munich,2,4,1,4,2.3,0.5,41,411,93,633
Schalke 04,Wolfsburg,0,0,0,0,1.3,1.5,35,412,41,411
Werder Bremen,Dortmund,0,2,0,2,0.6,2.5,45,407,68,506
Hoffenheim,Bayer Leverkusen,1,3,0,3,0.7,1.4,65,457,87,611
Freiburg,Stuttgart,2,1,0,1,2.1,1.1,43,392,78,529
Bayern Munich,Bochum,3,0,1,0,3.8,0.3,93,633,41,524
Mainz 05,Augsburg,3,1,3,0,2.4,1.5,38,476,49,429
RB Leipzig,Union Berlin,1,2,1,0,0.6,1.7,74,528,33,403
Hertha BSC,Mönchengladbach,4,1,3,1,3.0,0.5,37,368,55,451
Köln,Eintracht Frankfurt,3,0,2,0,1.2,0.3,28,441,48,402
Augsburg,Hoffenheim,1,0,1,0,1.7,0.7,49,429,65,457
Mönchengladbach,Bayern Munich,3,2,3,2,2.4,1.1,55,451,93,633
Wolfsburg,RB Leipzig,0,3,0,2,0.2,3.1,41,411,74,528
Stuttgart,Köln,3,0,2,0,1.6,0.5,78,529,28,441
Eintracht Frankfurt,Werder Bremen,2,0,1,0,2.1,0.3,48,402,45,407
Bochum,Freiburg,0,2,0,2,1.4,2.7,41,524,43,392
Union Berlin,Schalke 04,0,0,0,0,0.9,0.4,33,403,35,412
Bayer Leverkusen,Mainz 05,2,3,2,1,2.4,1.6,87,611,38,476
Dortmund,Hertha BSC,4,1,3,1,2.6,1.1,68,506,37,368
Mainz 05,Mönchengladbach,4,0,3,0,1.8,1.2,38,476,55,451
RB Leipzig,Eintracht Frankfurt,2,1,2,1,1.7,0.8,74,528,48,402
Hoffenheim,Dortmund,0,1,0,1,1.3,2.4,65,457,68,506
Schalke 04,Stuttgart,2,1,2,1,1.6,1.2,35,412,78,529
Köln,Wolfsburg,0,2,0,1,1.3,1.0,28,441,41,411
Werder Bremen,Bochum,3,0,2,0,1.2,0.5,45,407,41,524
Hertha BSC,Augsburg,2,0,1,0,0.6,0.5,37,368,49,429
Bayern Munich,Union Berlin,3,0,3,0,3.6,0.4,93,633,33,403
Freiburg,Bayer Leverkusen,1,1,0,1,0.9,2.2,43,392,87,611
Dortmund,RB Leipzig,2,1,0,1,1.2,2.2,68,506,74,528
Bochum,Schalke 04,0,2,0,1,1.3,0.6,41,524,35,412
Mainz 05,Hoffenheim,1,0,1,0,1.2,0.8,38,476,65,457
Union Berlin,Köln,0,0,0,0,0.5,0.9,33,403,28,441
Stuttgart,Bayern Munich,1,2,1,2,0.8,2.1,78,529,93,633
Mönchengladbach,Freiburg,0,0,0,0,1.5,0.3,55,451,43,392
Augsburg,Werder Bremen,2,1,2,1,0.6,2.4,49,429,45,407
Bayer Leverkusen,Hertha BSC,4,1,4,0,1.7,1.1,87,611,37,368
Wolfsburg,Eintracht Frankfurt,2,2,2,1,1.9,0.6,41,411,48,402
Köln,Bochum,0,2,0,1,0.7,1.4,28,441,41,524
RB Leipzig,Mönchengladbach,3,0,1,0,2.5,1.6,74,528,55,451
Eintracht Frankfurt,Stuttgart,1,1,0,1,0.7,0.8,48,402,78,529
Bayern Munich,Augsburg,5,3,3,1,2.4,2.5,93,633,49,429
Hertha BSC,Mainz 05,1,1,0,1,1.5,0.5,37,368,38,476
Schalke 04,Dortmund,2,2,2,2,1.5,2.0,35,412,68,506
Werder Bremen,Bayer Leverkusen,2,3,1,2,1.8,1.0,45,407,87,611
Freiburg,Hoffenheim,2,1,1,1,0.6,1.0,43,392,65,457
Wolfsburg,Union Berlin,1,1,1,0,1.7,1.3,41,411,33,403
Mönchengladbach,Werder Bremen,2,2,1,2,3.4,1.3,55,451,45,407
Stuttgart,Wolfsburg,0,1,0,1,0.5,0.6,78,529,41,411
Dortmund,Köln,6,1,5,0,3.5,1.7,68,506,28,441
Hoffenheim,Hertha BSC,3,1,0,0,2.7,1.0,65,457,37,368
Bochum,RB Leipzig,1,0,1,0,1.2,1.9,41,524,74,528
Augsburg,Schalke 04,1,1,1,0,0.3,1.8,49,429,35,412
Union Berlin,Eintracht Frankfurt,2,0,2,0,1.5,2.7,33,403,48,402
Mainz 05,Freiburg,1,1,0,1,1.0,1.7,38,476,43,392
Bayer Leverkusen,Bayern Munich,2,1,0,1,2.0,1.0,87,611,93,633
Eintracht Frankfurt,Bochum,1,1,0,0,3.2,1.2,48,402,41,524
Schalke 04,Bayer Leverkusen,0,3,0,3,1.1,2.8,35,412,87,611
RB Leipzig,Mainz 05,0,3,0,1,0.8,3.2,74,528,38,476
Wolfsburg,Augsburg,2,2,2,1,3.7,0.6,41,411,49,429
Freiburg,Hertha BSC,1,1,1,0,1.2,1.9,43,392,37,368
Bayern Munich,Dortmund,4,2,2,1,2.4,1.7,93,633,68,506
Union Berlin,Stuttgart,3,0,1,0,1.9,2.2,33,403,78,529
Köln,Mönchengladbach,0,0,0,0,1.0,1.0,28,441,55,451
Werder Bremen,Hoffenheim,1,2,1,2,0.9,1.1,45,407,65,457
Bayer Leverkusen,Eintracht Frankfurt,3,1,3,1,2.1,1.0,87,611,48,402
Augsburg,Köln,1,3,1,3,0.9,1.7,49,429,28,441
Hertha BSC,RB Leipzig,0,1,0,0,0.5,2.4,37,368,74,528
Dortmund,Union Berlin,2,1,1,1,2.6,0.5,68,506,33,403
Mainz 05,Werder Bremen,2,2,2,1,1.9,0.9,38,476,45,407
Freiburg,Bayern Munich,0,1,0,1,1.0,3.5,43,392,93,633
Hoffenheim,Schalke 04,2,0,0,0,2.2,0.7,65,457,35,412
Bochum,Stuttgart,2,3,1,2,2.4,2.2,41,524,78,529
Mönchengladbach,Wolfsburg,2,0,2,0,1.6,1.5,55,451,41,411
Schalke 04,Hertha BSC,5,2,3,0,2.2,1.6,35,412,37,368
Köln,Mainz 05,1,1,1,1,1.0,0.8,28,441,38,476
Stuttgart,Dortmund,3,3,2,1,1.4,1.9,78,529,68,506
Bayern Munich,Hoffenheim,1,1,1,0,1.7,0.5,93,633,65,457
Eintracht Frankfurt,Mönchengladbach,1,1,1,1,2.2,1.2,48,402,55,451
RB Leipzig,Augsburg,3,2,3,1,1.8,0.7,74,528,49,429
Wolfsburg,Bayer Leverkusen,0,0,0,0,0.9,1.2,41,411,87,611
Werder Bremen,Freiburg,1,2,1,2,1.7,0.8,45,407,43,392
Union Berlin,Bochum,1,1,0,0,1.2,1.8,33,403,41,524
Augsburg,Stuttgart,1,1,1,0,0.7,1.1,49,429,78,529
Hoffenheim,Köln,1,3,0,1,0.9,1.7,65,457,28,441
Mainz 05,Bayern Munich,3,1,2,1,1.6,1.9,38,476,93,633
Dortmund,Eintracht Frankfurt,4,0,4,0,1.1,0.6,68,506,48,402
Hertha BSC,Werder Bremen,2,4,1,3,1.6,2.0,37,368,45,407
Bochum,Wolfsburg,1,5,0,3,3.0,4.3,41,524,41,411
Bayer Leverkusen,RB Leipzig,2,0,1,0,1.1,2.2,87,611,74,528
Mönchengladbach,Union Berlin,0,1,0,1,0.7,1.3,55,451,33,403
Freiburg,Schalke 04,4,0,3,0,2.1,0.3,43,392,35,412
Bochum,Dortmund,1,1,0,1,0.9,2.9,41,524,68,506
RB Leipzig,Hoffenheim,1,0,1,0,1.4,0.3,74,528,65,457
Union Berlin,Bayer Leverkusen,0,0,0,0,0.8,0.8,33,403,87,611
Eintracht Frankfurt,Augsburg,1,1,0,1,0.6,0.7,48,402,49,429
Köln,Freiburg,0,1,0,1,1.6,1.6,28,441,43,392
Schalke 04,Werder Bremen,2,1,2,1,1.6,1.2,35,412,45,407
Stuttgart,Mönchengladbach,2,1,1,0,2.4,1.2,78,529,55,451
Bayern Munich,Hertha BSC,2,0,2,0,2.7,0.1,93,633,37,368
Wolfsburg,Mainz 05,3,0,3,0,1.9,1.8,41,411,38,476
Mainz 05,Schalke 04,2,3,1,2,1.4,3.0,38,476,35,412
Bayer Leverkusen,Köln,1,2,1,2,0.9,0.8,87,611,28,441
Hertha BSC,Stuttgart,2,1,2,1,1.2,1.5,37,368,78,529
Hoffenheim,Eintracht Frankfurt,3,1,2,0,2.2,2.3,65,457,48,402
Freiburg,RB Leipzig,0,1,0,0,0.4,2.0,43,392,74,528
Mönchengladbach,Bochum,2,0,1,0,1.9,1.1,55,451,41,524
Werder Bremen,Bayern Munich,1,2,1,1,0.7,1.4,45,407,93,633
Augsburg,Union Berlin,1,0,1,0,0.9,0.7,49,429,33,403
Dortmund,Wolfsburg,6,0,6,0,4.2,1.4,68,506,41,411
Köln,Hertha BSC,5,2,4,1,4.5,1.1,28,441,37,368
Union Berlin,Freiburg,4,2,4,1,1.5,2.1,33,403,43,392
Wolfsburg,Hoffenheim,2,1,2,0,1.1,1.0,41,411,65,457
Eintracht Frankfurt,Mainz 05,3,0,2,0,2.3,1.0,48,402,38,476
Dortmund,Mönchengladbach,5,2,2,1,4.7,2.0,68,506,55,451
Bayern Munich,Schalke 04,6,0,4,0,5.4,0.4,93,633,35,412
Bochum,Augsburg,3,2,2,2,1.3,1.9,41,524,49,429
Stuttgart,Bayer Leverkusen,1,1,0,0,1.4,1.8,78,529,87,611
RB Leipzig,Werder Bremen,2,1,2,1,2.2,1.1,74,528,45,407
Freiburg,Wolfsburg,2,0,2,0,1.3,0.7,43,392,41,411
Bayern Munich,RB Leipzig,1,3,1,0,1.7,3.0,93,633,74,528
Schalke 04,Eintracht Frankfurt,2,2,2,2,1.0,1.6,35,412,48,402
Hoffenheim,Union Berlin,4,2,2,2,2.4,2.0,65,457,33,403
Hertha BSC,Bochum,1,1,1,1,1.2,1.1,37,368,41,524
Werder Bremen,Köln,1,1,1,1,1.9,1.4,45,407,28,441
Augsburg,Dortmund,0,3,0,1,0.2,3.3,49,429,68,506
Mainz 05,Stuttgart,1,4,0,3,1.4,1.8,38,476,78,529
Bayer Leverkusen,Mönchengladbach,2,2,2,1,1.6,1.7,87,611,55,451
RB Leipzig,Schalke 04,4,2,3,1,2.7,1.2,74,528,35,412
Union Berlin,Werder Bremen,1,0,1,0,0.9,0.4,33,403,45,407
Stuttgart,Hoffenheim,1,1,1,1,2.5,0.8,78,529,65,457
Bochum,Bayer Leverkusen,3,0,3,0,1.3,0.8,41,524,87,611
Wolfsburg,Hertha BSC,1,2,1,1,3.5,2.1,41,411,37,368
Mönchengladbach,Augsburg,2,0,2,0,3.2,0.5,55,451,49,429
Köln,Bayern Munich,1,2,0,2,1.3,1.3,28,441,93,633
Eintracht Frankfurt,Freiburg,2,1,1,0,2.1,1.6,48,402,43,392
Dortmund,Mainz 05,2,2,2,2,4.0,1.8,68,506,38,476
